STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN
CHM00058424,"ANQING, CH",30.533,117.05,20,3/7/2020,56,65,47
CHM00058424,"ANQING, CH",30.533,117.05,20,3/8/2020,55,65,50
CHM00058424,"ANQING, CH",30.533,117.05,20,3/9/2020,52,60,49
CHM00058424,"ANQING, CH",30.533,117.05,20,3/10/2020,51,59,43
CHM00058424,"ANQING, CH",30.533,117.05,20,3/11/2020,57,65,42
CHM00058424,"ANQING, CH",30.533,117.05,20,3/12/2020,55,65,45
CHM00058424,"ANQING, CH",30.533,117.05,20,3/13/2020,51,62,43
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/1/2020,10,26,-11
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/2/2020,7,22,-7
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/3/2020,5,22,-8
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/4/2020,2,22,-10
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/5/2020,-3,15,-15
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/6/2020,1,14,-15
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/7/2020,5,26,-12
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/8/2020,8,26,-8
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/9/2020,8,25,-5
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/10/2020,0,21,-12
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/11/2020,4,17,-12
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/12/2020,13,30,-11
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/13/2020,19,36,-3
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/14/2020,15,36,-4
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/15/2020,7,33,-7
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/16/2020,8,26,-11
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/17/2020,13,26,-11
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/18/2020,10,23,-1
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/19/2020,7,23,-3
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/20/2020,0,18,-11
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/21/2020,0,14,-13
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/22/2020,0,14,-12
CHM00056004,"TUOTUOHE, CH",34.217,92.433,4535,1/23/2020,-1,13,-13
